S;MuR;SigmaR;MuD;SigmaD;MuA;SigmaA;RhoA;MuB;SigmaB;Intra;SelfReg;scaling;DistB;ParsID;Stable;Type
5;1;0;1;0;0;0,0100000000000000;0;0;0;None;Quadratic;FALSE;Normal;0,93236495670862496;TRUE;Modified Pairwise
5;1;0;1;0;0;0,0100000000000000;0;0;0;None;Quadratic;FALSE;Normal;0,93236495670862496;TRUE;Carrying Capacity
5;1;0;1;0;0;0,0477777777777778;0;0;0;None;Quadratic;FALSE;Normal;0,73429325991310179;TRUE;Modified Pairwise
5;1;0;1;0;0;0,0477777777777778;0;0;0;None;Quadratic;FALSE;Normal;0,73429325991310179;TRUE;Carrying Capacity
5;1;0;1;0;0;0,0855555555555555;0;0;0;None;Quadratic;FALSE;Normal;0,16497930884361267;TRUE;Modified Pairwise
5;1;0;1;0;0;0,0855555555555555;0;0;0;None;Quadratic;FALSE;Normal;0,16497930884361267;TRUE;Carrying Capacity
5;1;0;1;0;0;0,1233333333333333;0;0;0;None;Quadratic;FALSE;Normal;0,40450894203968346;TRUE;Modified Pairwise
5;1;0;1;0;0;0,1233333333333333;0;0;0;None;Quadratic;FALSE;Normal;0,40450894203968346;TRUE;Carrying Capacity
5;1;0;1;0;0;0,1611111111111111;0;0;0;None;Quadratic;FALSE;Normal;0,73330025188624859;TRUE;Modified Pairwise
5;1;0;1;0;0;0,1611111111111111;0;0;0;None;Quadratic;FALSE;Normal;0,73330025188624859;TRUE;Carrying Capacity
5;1;0;1;0;0;0,1988888888888889;0;0;0;None;Quadratic;FALSE;Normal;0,99718263885006309;TRUE;Modified Pairwise
5;1;0;1;0;0;0,1988888888888889;0;0;0;None;Quadratic;FALSE;Normal;0,99718263885006309;TRUE;Carrying Capacity
5;1;0;1;0;0;0,2366666666666666;0;0;0;None;Quadratic;FALSE;Normal;0,35099312011152506;TRUE;Modified Pairwise
5;1;0;1;0;0;0,2366666666666666;0;0;0;None;Quadratic;FALSE;Normal;0,35099312011152506;TRUE;Carrying Capacity
5;1;0;1;0;0;0,2744444444444444;0;0;0;None;Quadratic;FALSE;Normal;0,71292101708240807;TRUE;Modified Pairwise
5;1;0;1;0;0;0,2744444444444444;0;0;0;None;Quadratic;FALSE;Normal;0,71292101708240807;TRUE;Carrying Capacity
5;1;0;1;0;0;0,3122222222222222;0;0;0;None;Quadratic;FALSE;Normal;0,90093253413215280;FALSE;Modified Pairwise
5;1;0;1;0;0;0,3122222222222222;0;0;0;None;Quadratic;FALSE;Normal;0,90093253413215280;TRUE;Carrying Capacity
5;1;0;1;0;0;0,3500000000000000;0;0;0;None;Quadratic;FALSE;Normal;0,56492697075009346;TRUE;Modified Pairwise
5;1;0;1;0;0;0,3500000000000000;0;0;0;None;Quadratic;FALSE;Normal;0,56492697075009346;TRUE;Carrying Capacity
5;1;0;1;0;0;0,0100000000000000;0;0;0;None;Quadratic;FALSE;Normal;0,37686116015538573;TRUE;Modified Pairwise
5;1;0;1;0;0;0,0100000000000000;0;0;0;None;Quadratic;FALSE;Normal;0,37686116015538573;TRUE;Carrying Capacity
5;1;0;1;0;0;0,0477777777777778;0;0;0;None;Quadratic;FALSE;Normal;0,85402413364499807;TRUE;Modified Pairwise
5;1;0;1;0;0;0,0477777777777778;0;0;0;None;Quadratic;FALSE;Normal;0,85402413364499807;TRUE;Carrying Capacity
5;1;0;1;0;0;0,0855555555555555;0;0;0;None;Quadratic;FALSE;Normal;0,10962699190713465;TRUE;Modified Pairwise
5;1;0;1;0;0;0,0855555555555555;0;0;0;None;Quadratic;FALSE;Normal;0,10962699190713465;TRUE;Carrying Capacity
5;1;0;1;0;0;0,1233333333333333;0;0;0;None;Quadratic;FALSE;Normal;0,27241743658669293;TRUE;Modified Pairwise
5;1;0;1;0;0;0,1233333333333333;0;0;0;None;Quadratic;FALSE;Normal;0,27241743658669293;TRUE;Carrying Capacity
5;1;0;1;0;0;0,1611111111111111;0;0;0;None;Quadratic;FALSE;Normal;0,28621903108432889;TRUE;Modified Pairwise
5;1;0;1;0;0;0,1611111111111111;0;0;0;None;Quadratic;FALSE;Normal;0,28621903108432889;TRUE;Carrying Capacity
5;1;0;1;0;0;0,1988888888888889;0;0;0;None;Quadratic;FALSE;Normal;0,79251840617507696;TRUE;Modified Pairwise
5;1;0;1;0;0;0,1988888888888889;0;0;0;None;Quadratic;FALSE;Normal;0,79251840617507696;TRUE;Carrying Capacity
5;1;0;1;0;0;0,2366666666666666;0;0;0;None;Quadratic;FALSE;Normal;0,45196039206348360;TRUE;Modified Pairwise
5;1;0;1;0;0;0,2366666666666666;0;0;0;None;Quadratic;FALSE;Normal;0,45196039206348360;TRUE;Carrying Capacity
5;1;0;1;0;0;0,2744444444444444;0;0;0;None;Quadratic;FALSE;Normal;0,47497800248675048;TRUE;Modified Pairwise
5;1;0;1;0;0;0,2744444444444444;0;0;0;None;Quadratic;FALSE;Normal;0,47497800248675048;TRUE;Carrying Capacity
5;1;0;1;0;0;0,3122222222222222;0;0;0;None;Quadratic;FALSE;Normal;0,31865159259177744;TRUE;Modified Pairwise
5;1;0;1;0;0;0,3122222222222222;0;0;0;None;Quadratic;FALSE;Normal;0,31865159259177744;TRUE;Carrying Capacity
5;1;0;1;0;0;0,3500000000000000;0;0;0;None;Quadratic;FALSE;Normal;0,95979834580793977;TRUE;Modified Pairwise
5;1;0;1;0;0;0,3500000000000000;0;0;0;None;Quadratic;FALSE;Normal;0,95979834580793977;TRUE;Carrying Capacity
5;1;0;1;0;0;0,0100000000000000;0;0;0;None;Quadratic;FALSE;Normal;0,56653798534534872;TRUE;Modified Pairwise
5;1;0;1;0;0;0,0100000000000000;0;0;0;None;Quadratic;FALSE;Normal;0,56653798534534872;TRUE;Carrying Capacity
5;1;0;1;0;0;0,0477777777777778;0;0;0;None;Quadratic;FALSE;Normal;0,61636392492800951;TRUE;Modified Pairwise
5;1;0;1;0;0;0,0477777777777778;0;0;0;None;Quadratic;FALSE;Normal;0,61636392492800951;TRUE;Carrying Capacity
5;1;0;1;0;0;0,0855555555555555;0;0;0;None;Quadratic;FALSE;Normal;0,05500936182215810;TRUE;Modified Pairwise
5;1;0;1;0;0;0,0855555555555555;0;0;0;None;Quadratic;FALSE;Normal;0,05500936182215810;TRUE;Carrying Capacity
5;1;0;1;0;0;0,1233333333333333;0;0;0;None;Quadratic;FALSE;Normal;0,90904614957980812;TRUE;Modified Pairwise
5;1;0;1;0;0;0,1233333333333333;0;0;0;None;Quadratic;FALSE;Normal;0,90904614957980812;TRUE;Carrying Capacity
5;1;0;1;0;0;0,1611111111111111;0;0;0;None;Quadratic;FALSE;Normal;0,52288794727064669;TRUE;Modified Pairwise
5;1;0;1;0;0;0,1611111111111111;0;0;0;None;Quadratic;FALSE;Normal;0,52288794727064669;TRUE;Carrying Capacity
5;1;0;1;0;0;0,1988888888888889;0;0;0;None;Quadratic;FALSE;Normal;0,49241055478341877;TRUE;Modified Pairwise
5;1;0;1;0;0;0,1988888888888889;0;0;0;None;Quadratic;FALSE;Normal;0,49241055478341877;TRUE;Carrying Capacity
5;1;0;1;0;0;0,2366666666666666;0;0;0;None;Quadratic;FALSE;Normal;0,00245358701795340;TRUE;Modified Pairwise
5;1;0;1;0;0;0,2366666666666666;0;0;0;None;Quadratic;FALSE;Normal;0,00245358701795340;TRUE;Carrying Capacity
5;1;0;1;0;0;0,2744444444444444;0;0;0;None;Quadratic;FALSE;Normal;0,81516387802548707;TRUE;Modified Pairwise
5;1;0;1;0;0;0,2744444444444444;0;0;0;None;Quadratic;FALSE;Normal;0,81516387802548707;TRUE;Carrying Capacity
5;1;0;1;0;0;0,3122222222222222;0;0;0;None;Quadratic;FALSE;Normal;0,04383739153854549;TRUE;Modified Pairwise
5;1;0;1;0;0;0,3122222222222222;0;0;0;None;Quadratic;FALSE;Normal;0,04383739153854549;TRUE;Carrying Capacity
5;1;0;1;0;0;0,3500000000000000;0;0;0;None;Quadratic;FALSE;Normal;0,42535194591619074;TRUE;Modified Pairwise
5;1;0;1;0;0;0,3500000000000000;0;0;0;None;Quadratic;FALSE;Normal;0,42535194591619074;TRUE;Carrying Capacity
5;1;0;1;0;0;0,0100000000000000;0;0;0;None;Quadratic;FALSE;Normal;0,80731613701209426;TRUE;Modified Pairwise
5;1;0;1;0;0;0,0100000000000000;0;0;0;None;Quadratic;FALSE;Normal;0,80731613701209426;TRUE;Carrying Capacity
5;1;0;1;0;0;0,0477777777777778;0;0;0;None;Quadratic;FALSE;Normal;0,54500996787101030;TRUE;Modified Pairwise
5;1;0;1;0;0;0,0477777777777778;0;0;0;None;Quadratic;FALSE;Normal;0,54500996787101030;TRUE;Carrying Capacity
5;1;0;1;0;0;0,0855555555555555;0;0;0;None;Quadratic;FALSE;Normal;0,81176552921533585;TRUE;Modified Pairwise
5;1;0;1;0;0;0,0855555555555555;0;0;0;None;Quadratic;FALSE;Normal;0,81176552921533585;TRUE;Carrying Capacity
5;1;0;1;0;0;0,1233333333333333;0;0;0;None;Quadratic;FALSE;Normal;0,87017255811952055;TRUE;Modified Pairwise
5;1;0;1;0;0;0,1233333333333333;0;0;0;None;Quadratic;FALSE;Normal;0,87017255811952055;TRUE;Carrying Capacity
5;1;0;1;0;0;0,1611111111111111;0;0;0;None;Quadratic;FALSE;Normal;0,43711803155019879;TRUE;Modified Pairwise
5;1;0;1;0;0;0,1611111111111111;0;0;0;None;Quadratic;FALSE;Normal;0,43711803155019879;TRUE;Carrying Capacity
5;1;0;1;0;0;0,1988888888888889;0;0;0;None;Quadratic;FALSE;Normal;0,80384391942061484;TRUE;Modified Pairwise
5;1;0;1;0;0;0,1988888888888889;0;0;0;None;Quadratic;FALSE;Normal;0,80384391942061484;TRUE;Carrying Capacity
5;1;0;1;0;0;0,2366666666666666;0;0;0;None;Quadratic;FALSE;Normal;0,83560144342482090;TRUE;Modified Pairwise
5;1;0;1;0;0;0,2366666666666666;0;0;0;None;Quadratic;FALSE;Normal;0,83560144342482090;TRUE;Carrying Capacity
5;1;0;1;0;0;0,2744444444444444;0;0;0;None;Quadratic;FALSE;Normal;0,24425772973336279;TRUE;Modified Pairwise
5;1;0;1;0;0;0,2744444444444444;0;0;0;None;Quadratic;FALSE;Normal;0,24425772973336279;TRUE;Carrying Capacity
5;1;0;1;0;0;0,3122222222222222;0;0;0;None;Quadratic;FALSE;Normal;0,02927668695338070;TRUE;Modified Pairwise
5;1;0;1;0;0;0,3122222222222222;0;0;0;None;Quadratic;FALSE;Normal;0,02927668695338070;TRUE;Carrying Capacity
5;1;0;1;0;0;0,3500000000000000;0;0;0;None;Quadratic;FALSE;Normal;0,98179509653709829;TRUE;Modified Pairwise
5;1;0;1;0;0;0,3500000000000000;0;0;0;None;Quadratic;FALSE;Normal;0,98179509653709829;TRUE;Carrying Capacity
5;1;0;1;0;0;0,0100000000000000;0;0;0;None;Quadratic;FALSE;Normal;0,91653700638562441;TRUE;Modified Pairwise
5;1;0;1;0;0;0,0100000000000000;0;0;0;None;Quadratic;FALSE;Normal;0,91653700638562441;TRUE;Carrying Capacity
5;1;0;1;0;0;0,0477777777777778;0;0;0;None;Quadratic;FALSE;Normal;0,93850850034505129;TRUE;Modified Pairwise
5;1;0;1;0;0;0,0477777777777778;0;0;0;None;Quadratic;FALSE;Normal;0,93850850034505129;TRUE;Carrying Capacity
5;1;0;1;0;0;0,0855555555555555;0;0;0;None;Quadratic;FALSE;Normal;0,45429339539259672;TRUE;Modified Pairwise
5;1;0;1;0;0;0,0855555555555555;0;0;0;None;Quadratic;FALSE;Normal;0,45429339539259672;TRUE;Carrying Capacity
5;1;0;1;0;0;0,1233333333333333;0;0;0;None;Quadratic;FALSE;Normal;0,95428777323104441;TRUE;Modified Pairwise
5;1;0;1;0;0;0,1233333333333333;0;0;0;None;Quadratic;FALSE;Normal;0,95428777323104441;TRUE;Carrying Capacity
5;1;0;1;0;0;0,1611111111111111;0;0;0;None;Quadratic;FALSE;Normal;0,05815261648967862;TRUE;Modified Pairwise
5;1;0;1;0;0;0,1611111111111111;0;0;0;None;Quadratic;FALSE;Normal;0,05815261648967862;TRUE;Carrying Capacity
5;1;0;1;0;0;0,1988888888888889;0;0;0;None;Quadratic;FALSE;Normal;0,97984070191159844;TRUE;Modified Pairwise
5;1;0;1;0;0;0,1988888888888889;0;0;0;None;Quadratic;FALSE;Normal;0,97984070191159844;TRUE;Carrying Capacity
5;1;0;1;0;0;0,2366666666666666;0;0;0;None;Quadratic;FALSE;Normal;0,03171080746687949;TRUE;Modified Pairwise
5;1;0;1;0;0;0,2366666666666666;0;0;0;None;Quadratic;FALSE;Normal;0,03171080746687949;TRUE;Carrying Capacity
5;1;0;1;0;0;0,2744444444444444;0;0;0;None;Quadratic;FALSE;Normal;0,18254589126445353;FALSE;Modified Pairwise
5;1;0;1;0;0;0,2744444444444444;0;0;0;None;Quadratic;FALSE;Normal;0,18254589126445353;TRUE;Carrying Capacity
5;1;0;1;0;0;0,3122222222222222;0;0;0;None;Quadratic;FALSE;Normal;0,91679745423607528;TRUE;Modified Pairwise
5;1;0;1;0;0;0,3122222222222222;0;0;0;None;Quadratic;FALSE;Normal;0,91679745423607528;TRUE;Carrying Capacity
5;1;0;1;0;0;0,3500000000000000;0;0;0;None;Quadratic;FALSE;Normal;0,35465276683680713;TRUE;Modified Pairwise
5;1;0;1;0;0;0,3500000000000000;0;0;0;None;Quadratic;FALSE;Normal;0,35465276683680713;TRUE;Carrying Capacity
5;1;0;1;0;0;0,0100000000000000;0;0;0;None;Quadratic;FALSE;Normal;0,86204166756942868;TRUE;Modified Pairwise
5;1;0;1;0;0;0,0100000000000000;0;0;0;None;Quadratic;FALSE;Normal;0,86204166756942868;TRUE;Carrying Capacity
5;1;0;1;0;0;0,0477777777777778;0;0;0;None;Quadratic;FALSE;Normal;0,72780209127813578;TRUE;Modified Pairwise
5;1;0;1;0;0;0,0477777777777778;0;0;0;None;Quadratic;FALSE;Normal;0,72780209127813578;TRUE;Carrying Capacity
5;1;0;1;0;0;0,0855555555555555;0;0;0;None;Quadratic;FALSE;Normal;0,62613587034866214;TRUE;Modified Pairwise
5;1;0;1;0;0;0,0855555555555555;0;0;0;None;Quadratic;FALSE;Normal;0,62613587034866214;TRUE;Carrying Capacity
5;1;0;1;0;0;0,1233333333333333;0;0;0;None;Quadratic;FALSE;Normal;0,61363418842665851;TRUE;Modified Pairwise
5;1;0;1;0;0;0,1233333333333333;0;0;0;None;Quadratic;FALSE;Normal;0,61363418842665851;TRUE;Carrying Capacity
5;1;0;1;0;0;0,1611111111111111;0;0;0;None;Quadratic;FALSE;Normal;0,56875665765255690;TRUE;Modified Pairwise
5;1;0;1;0;0;0,1611111111111111;0;0;0;None;Quadratic;FALSE;Normal;0,56875665765255690;TRUE;Carrying Capacity
5;1;0;1;0;0;0,1988888888888889;0;0;0;None;Quadratic;FALSE;Normal;0,09858731529675424;TRUE;Modified Pairwise
5;1;0;1;0;0;0,1988888888888889;0;0;0;None;Quadratic;FALSE;Normal;0,09858731529675424;TRUE;Carrying Capacity
5;1;0;1;0;0;0,2366666666666666;0;0;0;None;Quadratic;FALSE;Normal;0,55641120299696922;TRUE;Modified Pairwise
5;1;0;1;0;0;0,2366666666666666;0;0;0;None;Quadratic;FALSE;Normal;0,55641120299696922;TRUE;Carrying Capacity
5;1;0;1;0;0;0,2744444444444444;0;0;0;None;Quadratic;FALSE;Normal;0,56543600070290267;FALSE;Modified Pairwise
5;1;0;1;0;0;0,2744444444444444;0;0;0;None;Quadratic;FALSE;Normal;0,56543600070290267;TRUE;Carrying Capacity
5;1;0;1;0;0;0,3122222222222222;0;0;0;None;Quadratic;FALSE;Normal;0,20363356359302998;FALSE;Modified Pairwise
5;1;0;1;0;0;0,3122222222222222;0;0;0;None;Quadratic;FALSE;Normal;0,20363356359302998;FALSE;Carrying Capacity
5;1;0;1;0;0;0,3500000000000000;0;0;0;None;Quadratic;FALSE;Normal;0,64426815696060658;TRUE;Modified Pairwise
5;1;0;1;0;0;0,3500000000000000;0;0;0;None;Quadratic;FALSE;Normal;0,64426815696060658;TRUE;Carrying Capacity
5;1;0;1;0;0;0,0100000000000000;0;0;0;None;Quadratic;FALSE;Normal;0,35627233888953924;TRUE;Modified Pairwise
5;1;0;1;0;0;0,0100000000000000;0;0;0;None;Quadratic;FALSE;Normal;0,35627233888953924;TRUE;Carrying Capacity
5;1;0;1;0;0;0,0477777777777778;0;0;0;None;Quadratic;FALSE;Normal;0,49049500189721584;TRUE;Modified Pairwise
5;1;0;1;0;0;0,0477777777777778;0;0;0;None;Quadratic;FALSE;Normal;0,49049500189721584;TRUE;Carrying Capacity
5;1;0;1;0;0;0,0855555555555555;0;0;0;None;Quadratic;FALSE;Normal;0,86014783242717385;TRUE;Modified Pairwise
5;1;0;1;0;0;0,0855555555555555;0;0;0;None;Quadratic;FALSE;Normal;0,86014783242717385;TRUE;Carrying Capacity
5;1;0;1;0;0;0,1233333333333333;0;0;0;None;Quadratic;FALSE;Normal;0,31332389335148036;TRUE;Modified Pairwise
5;1;0;1;0;0;0,1233333333333333;0;0;0;None;Quadratic;FALSE;Normal;0,31332389335148036;TRUE;Carrying Capacity
5;1;0;1;0;0;0,1611111111111111;0;0;0;None;Quadratic;FALSE;Normal;0,28358458098955452;TRUE;Modified Pairwise
5;1;0;1;0;0;0,1611111111111111;0;0;0;None;Quadratic;FALSE;Normal;0,28358458098955452;TRUE;Carrying Capacity
5;1;0;1;0;0;0,1988888888888889;0;0;0;None;Quadratic;FALSE;Normal;0,61737291864119470;TRUE;Modified Pairwise
5;1;0;1;0;0;0,1988888888888889;0;0;0;None;Quadratic;FALSE;Normal;0,61737291864119470;TRUE;Carrying Capacity
5;1;0;1;0;0;0,2366666666666666;0;0;0;None;Quadratic;FALSE;Normal;0,86119692376814783;TRUE;Modified Pairwise
5;1;0;1;0;0;0,2366666666666666;0;0;0;None;Quadratic;FALSE;Normal;0,86119692376814783;TRUE;Carrying Capacity
5;1;0;1;0;0;0,2744444444444444;0;0;0;None;Quadratic;FALSE;Normal;0,55523641221225262;TRUE;Modified Pairwise
5;1;0;1;0;0;0,2744444444444444;0;0;0;None;Quadratic;FALSE;Normal;0,55523641221225262;TRUE;Carrying Capacity
5;1;0;1;0;0;0,3122222222222222;0;0;0;None;Quadratic;FALSE;Normal;0,33611312950961292;TRUE;Modified Pairwise
5;1;0;1;0;0;0,3122222222222222;0;0;0;None;Quadratic;FALSE;Normal;0,33611312950961292;TRUE;Carrying Capacity
5;1;0;1;0;0;0,3500000000000000;0;0;0;None;Quadratic;FALSE;Normal;0,67344876891002059;TRUE;Modified Pairwise
5;1;0;1;0;0;0,3500000000000000;0;0;0;None;Quadratic;FALSE;Normal;0,67344876891002059;TRUE;Carrying Capacity
5;1;0;1;0;0;0,0100000000000000;0;0;0;None;Quadratic;FALSE;Normal;0,57149886875413358;TRUE;Modified Pairwise
5;1;0;1;0;0;0,0100000000000000;0;0;0;None;Quadratic;FALSE;Normal;0,57149886875413358;TRUE;Carrying Capacity
5;1;0;1;0;0;0,0477777777777778;0;0;0;None;Quadratic;FALSE;Normal;0,33218266512267292;TRUE;Modified Pairwise
5;1;0;1;0;0;0,0477777777777778;0;0;0;None;Quadratic;FALSE;Normal;0,33218266512267292;TRUE;Carrying Capacity
5;1;0;1;0;0;0,0855555555555555;0;0;0;None;Quadratic;FALSE;Normal;0,82277717301622033;TRUE;Modified Pairwise
5;1;0;1;0;0;0,0855555555555555;0;0;0;None;Quadratic;FALSE;Normal;0,82277717301622033;TRUE;Carrying Capacity
5;1;0;1;0;0;0,1233333333333333;0;0;0;None;Quadratic;FALSE;Normal;0,85639925207942724;TRUE;Modified Pairwise
5;1;0;1;0;0;0,1233333333333333;0;0;0;None;Quadratic;FALSE;Normal;0,85639925207942724;TRUE;Carrying Capacity
5;1;0;1;0;0;0,1611111111111111;0;0;0;None;Quadratic;FALSE;Normal;0,38575151562690735;TRUE;Modified Pairwise
5;1;0;1;0;0;0,1611111111111111;0;0;0;None;Quadratic;FALSE;Normal;0,38575151562690735;TRUE;Carrying Capacity
5;1;0;1;0;0;0,1988888888888889;0;0;0;None;Quadratic;FALSE;Normal;0,00904313242062926;TRUE;Modified Pairwise
5;1;0;1;0;0;0,1988888888888889;0;0;0;None;Quadratic;FALSE;Normal;0,00904313242062926;TRUE;Carrying Capacity
5;1;0;1;0;0;0,2366666666666666;0;0;0;None;Quadratic;FALSE;Normal;0,69592816452495754;TRUE;Modified Pairwise
5;1;0;1;0;0;0,2366666666666666;0;0;0;None;Quadratic;FALSE;Normal;0,69592816452495754;TRUE;Carrying Capacity
5;1;0;1;0;0;0,2744444444444444;0;0;0;None;Quadratic;FALSE;Normal;0,75912270462140441;TRUE;Modified Pairwise
5;1;0;1;0;0;0,2744444444444444;0;0;0;None;Quadratic;FALSE;Normal;0,75912270462140441;TRUE;Carrying Capacity
5;1;0;1;0;0;0,3122222222222222;0;0;0;None;Quadratic;FALSE;Normal;0,57277580397203565;TRUE;Modified Pairwise
5;1;0;1;0;0;0,3122222222222222;0;0;0;None;Quadratic;FALSE;Normal;0,57277580397203565;TRUE;Carrying Capacity
5;1;0;1;0;0;0,3500000000000000;0;0;0;None;Quadratic;FALSE;Normal;0,85928620607592165;TRUE;Modified Pairwise
5;1;0;1;0;0;0,3500000000000000;0;0;0;None;Quadratic;FALSE;Normal;0,85928620607592165;FALSE;Carrying Capacity
5;1;0;1;0;0;0,0100000000000000;0;0;0;None;Quadratic;FALSE;Normal;0,09508032398298383;TRUE;Modified Pairwise
5;1;0;1;0;0;0,0100000000000000;0;0;0;None;Quadratic;FALSE;Normal;0,09508032398298383;TRUE;Carrying Capacity
5;1;0;1;0;0;0,0477777777777778;0;0;0;None;Quadratic;FALSE;Normal;0,93451559077948332;TRUE;Modified Pairwise
5;1;0;1;0;0;0,0477777777777778;0;0;0;None;Quadratic;FALSE;Normal;0,93451559077948332;TRUE;Carrying Capacity
5;1;0;1;0;0;0,0855555555555555;0;0;0;None;Quadratic;FALSE;Normal;0,66592648020014167;TRUE;Modified Pairwise
5;1;0;1;0;0;0,0855555555555555;0;0;0;None;Quadratic;FALSE;Normal;0,66592648020014167;TRUE;Carrying Capacity
5;1;0;1;0;0;0,1233333333333333;0;0;0;None;Quadratic;FALSE;Normal;0,23585575702600181;TRUE;Modified Pairwise
5;1;0;1;0;0;0,1233333333333333;0;0;0;None;Quadratic;FALSE;Normal;0,23585575702600181;TRUE;Carrying Capacity
5;1;0;1;0;0;0,1611111111111111;0;0;0;None;Quadratic;FALSE;Normal;0,82602475956082344;TRUE;Modified Pairwise
5;1;0;1;0;0;0,1611111111111111;0;0;0;None;Quadratic;FALSE;Normal;0,82602475956082344;TRUE;Carrying Capacity
5;1;0;1;0;0;0,1988888888888889;0;0;0;None;Quadratic;FALSE;Normal;0,07314766990020871;TRUE;Modified Pairwise
5;1;0;1;0;0;0,1988888888888889;0;0;0;None;Quadratic;FALSE;Normal;0,07314766990020871;TRUE;Carrying Capacity
5;1;0;1;0;0;0,2366666666666666;0;0;0;None;Quadratic;FALSE;Normal;0,49094789242371917;TRUE;Modified Pairwise
5;1;0;1;0;0;0,2366666666666666;0;0;0;None;Quadratic;FALSE;Normal;0,49094789242371917;TRUE;Carrying Capacity
5;1;0;1;0;0;0,2744444444444444;0;0;0;None;Quadratic;FALSE;Normal;0,06672648154199123;TRUE;Modified Pairwise
5;1;0;1;0;0;0,2744444444444444;0;0;0;None;Quadratic;FALSE;Normal;0,06672648154199123;TRUE;Carrying Capacity
5;1;0;1;0;0;0,3122222222222222;0;0;0;None;Quadratic;FALSE;Normal;0,18444020440801978;TRUE;Modified Pairwise
5;1;0;1;0;0;0,3122222222222222;0;0;0;None;Quadratic;FALSE;Normal;0,18444020440801978;TRUE;Carrying Capacity
5;1;0;1;0;0;0,3500000000000000;0;0;0;None;Quadratic;FALSE;Normal;0,69006745703518391;TRUE;Modified Pairwise
5;1;0;1;0;0;0,3500000000000000;0;0;0;None;Quadratic;FALSE;Normal;0,69006745703518391;TRUE;Carrying Capacity
5;1;0;1;0;0;0,0100000000000000;0;0;0;None;Quadratic;FALSE;Normal;0,02272378280758858;TRUE;Modified Pairwise
5;1;0;1;0;0;0,0100000000000000;0;0;0;None;Quadratic;FALSE;Normal;0,02272378280758858;TRUE;Carrying Capacity
5;1;0;1;0;0;0,0477777777777778;0;0;0;None;Quadratic;FALSE;Normal;0,50566288782283664;TRUE;Modified Pairwise
5;1;0;1;0;0;0,0477777777777778;0;0;0;None;Quadratic;FALSE;Normal;0,50566288782283664;TRUE;Carrying Capacity
5;1;0;1;0;0;0,0855555555555555;0;0;0;None;Quadratic;FALSE;Normal;0,51366284512914717;TRUE;Modified Pairwise
5;1;0;1;0;0;0,0855555555555555;0;0;0;None;Quadratic;FALSE;Normal;0,51366284512914717;TRUE;Carrying Capacity
5;1;0;1;0;0;0,1233333333333333;0;0;0;None;Quadratic;FALSE;Normal;0,79917230806313455;TRUE;Modified Pairwise
5;1;0;1;0;0;0,1233333333333333;0;0;0;None;Quadratic;FALSE;Normal;0,79917230806313455;TRUE;Carrying Capacity
5;1;0;1;0;0;0,1611111111111111;0;0;0;None;Quadratic;FALSE;Normal;0,56045120535418391;TRUE;Modified Pairwise
5;1;0;1;0;0;0,1611111111111111;0;0;0;None;Quadratic;FALSE;Normal;0,56045120535418391;TRUE;Carrying Capacity
5;1;0;1;0;0;0,1988888888888889;0;0;0;None;Quadratic;FALSE;Normal;0,88476972142234445;TRUE;Modified Pairwise
5;1;0;1;0;0;0,1988888888888889;0;0;0;None;Quadratic;FALSE;Normal;0,88476972142234445;TRUE;Carrying Capacity
5;1;0;1;0;0;0,2366666666666666;0;0;0;None;Quadratic;FALSE;Normal;0,36248523695394397;TRUE;Modified Pairwise
5;1;0;1;0;0;0,2366666666666666;0;0;0;None;Quadratic;FALSE;Normal;0,36248523695394397;TRUE;Carrying Capacity
5;1;0;1;0;0;0,2744444444444444;0;0;0;None;Quadratic;FALSE;Normal;0,18905858206562698;TRUE;Modified Pairwise
5;1;0;1;0;0;0,2744444444444444;0;0;0;None;Quadratic;FALSE;Normal;0,18905858206562698;TRUE;Carrying Capacity
5;1;0;1;0;0;0,3122222222222222;0;0;0;None;Quadratic;FALSE;Normal;0,25166890490800142;TRUE;Modified Pairwise
5;1;0;1;0;0;0,3122222222222222;0;0;0;None;Quadratic;FALSE;Normal;0,25166890490800142;TRUE;Carrying Capacity
5;1;0;1;0;0;0,3500000000000000;0;0;0;None;Quadratic;FALSE;Normal;0,44526458368636668;TRUE;Modified Pairwise
5;1;0;1;0;0;0,3500000000000000;0;0;0;None;Quadratic;FALSE;Normal;0,44526458368636668;TRUE;Carrying Capacity
